Author,Study_ID,Effectsize_ID,Case_ID,Year,Basin_ID,Basin,Region_ID,Region,Country_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rock_type_ID,Rock_type,RockP_ID,RockP_class,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_order,Hedley_totalsoilP_Bicarb_OH_Pt,Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_wind_kts,WMO_press_mb,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Pre_Mean,Pre_SD,S_size,PostMonth,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific
Zimmerman et al,4,12,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,6,Rec,0.82,0.26,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,13,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,9,Rec,0.87,0.29,1.34,0.45,20,June,1.19,0.3
Zimmerman et al,4,14,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,12,Rec,0.9,0.16,1.34,0.45,20,September,1.7,0.42
Zimmerman et al,4,15,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,15,Rec,0.93,0.26,1.34,0.45,20,December,0.74,0.19
Zimmerman et al,4,16,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,18,Rec,1.8,0.64,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,17,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,21,Rec,1.97,0.68,1.34,0.45,20,June,1.19,0.3
Zimmerman et al,4,18,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,24,Rec,1.39,0.32,1.34,0.45,20,September,1.7,0.42
Zimmerman et al,4,19,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,27,Rec,1.42,0.32,1.34,0.45,20,December,0.74,0.19
Zimmerman et al,4,20,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,30,Rec,2.55,0.42,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,21,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,33,Rec,2.15,1.23,1.34,0.45,20,June,1.19,0.3
Zimmerman et al,4,22,4.2,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,3,Fert ,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,36,Rec,1.45,0.71,1.34,0.45,20,September,1.7,0.42
Zimmerman et al,4,23,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,6,Rec,0.91,0.77,1.34,0.45,20,March,1.8,0.45
Zimmerman et al,4,24,4.3,1995,1,North Atlantic,1,Caribbean,1,Puerto Rico,7,El Verde,Tabonuco,9,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,2,Basalt,3,High,14,Volcaniclastic,7,Oxisol,130,340,mg/kg,2,DebRem,Leaf fall,Mass,g/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,110,946,9,Rec,0.78,0.29,1.34,0.45,20,June,1.19,0.3
