Author,Study_ID,Effectize_ID,Case ID,Year,Basin_ID,Basin,Region_ID,Region,Area_ID,Country,Site_ID,Site,Forest_type,Holdridge_ID,Holdridge_life_zone,Latitude,Longitude,Elevation_m,MAP_mm,MAT_C,MAT_MAP_x100,Rocktype_ID,RockType,RockP_ID,RockPClass,Par_Mat_ID,Par_Mat,Soil_ID,USDA_Soil_Order,Total_soil_P (Bicarb- + NaOH-Pt),Other_soil_P,Other_soil_P_Unit,Treatment_ID,Treatment,Fraction,Variable,Raw_Unit,Gale_wind_duration_minutes,Fujita_scale,StormFrequencyNorm,YearsSinceLastStorm,DisturbanceYear,DisturbanceName,DisturbanceClass,DisturbanceDate,Distance_to_Disturb_km,Disturb_Rainfall_mm,HURRECON_wind_ms,WMO_wind_ms,WMO_press_mb,Raw_TSD,TSD_months,Cat_TSD_months,Post_Mean,Post_SD,Post_n,Pre_Mean,Pre_SD,Pre_n,Transf_Unit,Post_Mean_transf,Post_SD_transf,Pre_Mean_transf,Pre_SD_transf,PostMonth,Recovery,Pre_Mean_MonthSpecific,Pre_SD_MonthSpecific,Ref P,Ref dist_rainfall,Ref Distance,PS,,,,,,,
Lodge et al,9,11,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Wood fall,P,mg/g,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,0.339,0.448,41,0.297,0.064,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,12,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.321122,-65.8199501,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Wood fall,P,mg/g,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.5,0-0.5,0.753,0.156,36,0.26,0.06,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,13,9.3,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,3,East Peak,Cloud,4,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4200,18.5,0.44,,Shale,3,High,8,Volcanic siltstone,2,Inceptisol,,260,mg/kg,,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,300,46,56.6,946,9 days,0.3,0-0.5,4212.6,137.42,7,5.16,1.16,7,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,14,9.3,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,3,East Peak,Cloud,4,Subtropical Lowermontane Rain,18.266667,-65.75,1000,4200,18.5,0.44,,Shale,3,High,8,Volcanic siltstone,2,Inceptisol,,260,mg/kg,,Ambient,Leaf fall,P,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,300,46,56.6,946,3 to 10 days,0.3,0-0.5,151.16,5.89,7,0.16,0.03,7,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,15,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,6107.4,90.16,41,16.25,0.99,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,16,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Leaf fall,P,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,276.72,27.05,41,0.54,0.05,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,17,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Misc fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,2253.2,882.37,41,7.24,7.35,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,18,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Misc fall,P,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,135.45,2692.6,41,0.5,0.4,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,19,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Wood fall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,4945,4302.86,41,4.73,0.06,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,20,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,Wood fall,P,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,194.93,215.14,41,0.16,0.02,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,21,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Leaf fall,N,mg/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,9471,2325.96,36,19.3,17.5,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,22,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Wood fall,N,mg/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,2711.5,115.2558,36,2.84,0.02,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,23,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Leaf fall,P,mg/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,504.3,697.788,36,0.34,0.33,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,24,9.2,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,1,El Verde,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,5,Oxisol,130,340,mg/kg,,Ambient,Wood fall,P,mg/m2/day,3810,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,175,45,56.6,946,3 to 10 days,0.3,0-0.5,240.207,99.88836,36,0.1,0.02,36,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,25,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,TotLitfall,N,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,13305.6,5275.39,41,3.5,0.44,41,,,,,,September,N,,,,,,,,,,,,,
Lodge et al,9,26,9.1,1991,1,North Atlantic,1,Caribbean,1,Puerto Rico,2,Bisley,Tabonuco,7,Subtropical Wet,18.315856,-65.744506,425,3500,23,0.657,,Basalt,3,High,9,Volcaniclastic,4,Ultisol,120,320,mg/kg,1,Ambient,TotLitfall,P,mg/m2/day,3780,5,0.32,4.9,1989,Hugo,Hurricane,18-Sep-89,15,210,46,56.6,946,9 days,0.3,0-0.5,607.1,2934.79,41,24.36,17.89,41,,,,,,September,N,,,,,,,,,,,,,
